Java高级开发工程师,南京林洋电力科技有限公司,南京-建邺区,0.9-2万/月,04-27,"南京-建邺区,无工作经验,招若干人,04-27发布","五险一金,员工旅游,餐饮补贴,定期体检,专业培训,年终奖金"
Java中高级开发工程师,江苏南极星新能源技术股份有限公司,南京-栖霞区,0.9-1.8万/月,04-27,"南京-栖霞区,3-4年经验,本科,招若干人,04-27发布,软件工程 计算机工程","五险一金,包住宿,免费班车,绩效奖金,全勤奖,包三餐,节日福利,带薪年假,专业培训,定期旅游"
应届生初级软件工程师java实习,广州启微信息科技有限公司,广州-天河区,6-8千/月,04-27,"广州-天河区,无工作经验,大专,招5人,04-27发布",
Java开发工程师,北京先进数通信息技术股份公司,昆明-五华区,0.5-1万/月,04-27,"昆明-五华区,2年经验,本科,招5人,04-27发布",
JAVA开发工程师,广州市款靓靓珠宝有限责任公司,广州-番禺区,0.8-1.2万/月,04-27,"广州-番禺区,3-4年经验,大专,招若干人,04-27发布,软件工程","带薪年假,五险一金,绩效奖金,全勤奖,节日福利,专业培训,餐饮补贴,加班补贴"
高级java开发工程师,常德泽易珍豪电子商务有限公司,常德,6-8千/月,04-27,"常德,2年经验,招若干人,04-27发布","员工旅游,餐饮补贴,专业培训,绩效奖金,年终奖金,定期体检,包吃"
无经验java实习生双休,福州天助人和信息技术有限公司,福州-鼓楼区,4.5-6千/月,04-27,"福州-鼓楼区,无工作经验,大专,招若干人,04-27发布","五险一金,绩效奖金,餐饮补贴,年终奖金,员工旅游,弹性工作,年底双薪,带薪年假,生日聚会,高温补贴"
Java高级开发工程师（金融行业）,上海金指软件技术有限公司,上海-浦东新区,1.5-2.2万/月,04-27,"上海-浦东新区,5-7年经验,本科,招10人,04-27发布","五险一金,餐饮补贴,定期体检,专业培训,免费班车,员工旅游,交通补贴,年终奖金,股票期权,绩效奖金"
Java高级开发工程师,杭州石谷网络科技有限公司,杭州-上城区,0.8-1万/月,04-27,"杭州-上城区,无工作经验,招3人,04-27发布",五险一金
Java开发工程师,湖南唐门网络科技有限公司,长沙-岳麓区,0.6-1.2万/月,04-27,"长沙-岳麓区,2年经验,本科,招2人,04-27发布","五险,绩效奖金,年终奖金,专业培训"
java开发工程师（大数据方向）,广州市科蝶网络科技有限公司,广州-番禺区,1-1.5万/月,04-27,"广州-番禺区,2年经验,本科,招2人,04-27发布,计算机应用 计算机科学与技术","五险一金,绩效奖金,专业培训,加班补贴"
Java开发工程师,广州锐迪医疗仪器有限公司,广州,1-2万/月,04-27,"广州,2年经验,本科,招1人,04-27发布","餐饮补贴,专业培训,年终奖金,绩效奖金"
Java高级开发工程师,上海澳马信息技术服务有限公司,上海,0.6-2万/月,04-27,"上海,5-7年经验,大专,招若干人,04-27发布","餐饮补贴,绩效奖金,定期体检,弹性工作,五险一金"
初级Java软件开发实习生,成都壹玖捌玖科技有限公司,成都,3.8-6.5千/月,04-27,"成都,无工作经验,招2人,04-27发布","五险一金,补充公积金,员工旅游,年终奖金,绩效奖金,弹性工作,交通补贴,餐饮补贴,通讯补贴,补充医疗保险"
中级java软件工程师,深圳市千岸科技有限公司,深圳-宝安区,1.3-1.8万/月,04-27,"深圳-宝安区,3-4年经验,大专,招1人,04-27发布","五险一金,弹性工作,专业培训,绩效奖金,年终奖金,员工旅游"
java开发（长沙）,北京炎黄新星网络科技有限公司,长沙-芙蓉区,4-6千/月,04-27,"长沙-芙蓉区,1年经验,本科,招1人,04-27发布","五险一金,餐饮补贴,年终奖金"
Java服务器开发工程师,广州忆游未尽网络科技有限公司,广州,0.8-1.5万/月,04-27,"广州,无工作经验,大专,招若干人,04-27发布","五险一金,补充医疗保险,员工旅游,年终奖金,绩效奖金,弹性工作,加班补贴,全勤奖,勤奋奖"
中级java,广州多融信息科技有限公司,广州-天河区,1-1.5万/月,04-27,"广州-天河区,无工作经验,本科,招若干人,04-27发布","五险一金,弹性工作,餐饮补贴,包午餐,水果下午茶"
Java研发经理,北京中科精图信息技术有限公司,北京-海淀区,1.8-2.5万/月,04-27,"北京-海淀区,10年以上经验,本科,招若干人,04-27发布,英语,计算机应用 软件工程","五险一金,交通补贴,餐饮补贴,通讯补贴,绩效奖金,年终奖金,弹性工作"
Java开发实习生,沈阳匹斯迈尔科技有限公司,沈阳-沈河区,1.5-3.5千/月,04-27,"沈阳-沈河区,无工作经验,大专,招5人,04-27发布,英语良好",
Java实习,四川苏雅拉教育科技有限公司,成都-武侯区,2.5-4.5千/月,04-27,"成都-武侯区,无工作经验,大专,招3人,04-27发布","五险一金,员工旅游,专业培训,绩效奖金,弹性工作,定期体检"
Java开发工程师,湖北点客信息技术有限公司,武汉-江岸区,0.7-1.2万/月,04-27,"武汉-江岸区,5-7年经验,本科,招2人,04-27发布",
Java开发工程师,深圳凡博信息技术有限公司,深圳-宝安区,1-1.5万/月,04-27,"深圳-宝安区,2年经验,大专,招1人,04-27发布","员工旅游,五险一金,节日福利,带薪年假,加班补贴,结婚礼金,不限量零食,定期体检,年终奖"
Java高级开发工程师（银行软件）,南京信雅达友田信息技术有限公司,深圳-福田区,2-2.5万/月,04-27,"深圳-福田区,5-7年经验,本科,招2人,04-27发布","五险一金,员工旅游,交通补贴,通讯补贴,绩效奖金,年终奖金,弹性工作,定期体检"
JAVA项目开发经理,济南方联信息科技有限公司,济南,0.8-1.5万/月,04-27,"济南,1年经验,招3人,04-27发布","五险一金,交通补贴,餐饮补贴,通讯补贴,年终奖金,绩效奖金,股票期权,员工旅游,免费班车,专业培训"
Java高级开发工程师,深圳市金蝶天燕中间件股份有限公司,深圳-南山区,1.5-2万/月,04-27,"深圳-南山区,5-7年经验,本科,招若干人,04-27发布","五险一金,定期体检,节日福利,带薪年假,绩效奖金"
Java开发/软件开发助理工程师,厦门智汇祥盈科技有限公司,厦门,3-4.5千/月,04-27,"厦门,无工作经验,大专,招3人,04-27发布","五险一金,绩效奖金,餐饮补贴,年终奖金,周末双休"
Java开发工程师,广东赛辰检测服务有限公司,广州-黄埔区,1-1.5万/月,04-27,"广州-黄埔区,无工作经验,招2人,04-27发布","五险一金,员工旅游,专业培训,绩效奖金,年终奖金,员工生日,商业保险,周末双休,带薪年假,加班福利"
急聘高级java软件工程师,深圳市诚立业科技发展有限公司,深圳-龙华新区,1.4-1.8万/月,04-27,"深圳-龙华新区,3-4年经验,本科,招1人,04-27发布",五险一金
java高级软件工程师（音视频、流媒体）,北京东方坦达科技有限公司,北京-海淀区,1.5-2万/月,04-27,"北京-海淀区,3-4年经验,本科,招若干人,04-27发布,英语良好","五险一金,年终奖金,专业培训,餐饮补贴,弹性工作"
Java高级开发工程师(需求侧管理),南京新联软件有限责任公司,南京-江宁区,1-2万/月,04-27,"南京-江宁区,5-7年经验,本科,招5人,04-27发布",五险一金
实习Java开发五险一金,广东金优有限公司,广州,5.5-7.5千/月,04-27,"广州,无工作经验,大专,招5人,04-27发布","五险一金,员工旅游,绩效奖金,年终奖金,定期体检,弹性工作,周末双休"
Java开发工程师,广西南宁梦航文化传播有限公司,南宁,0.7-1万/月,04-27,"南宁,2年经验,本科,招1人,04-27发布","五险一金,员工旅游,绩效奖金,年终奖金"
Java开发工程师,良彬建材,重庆-九龙坡区,0.8-1万/月,04-27,"重庆-九龙坡区,2年经验,大专,招1人,04-27发布,普通话一般","五险,绩效奖金,年终奖金,商学院培训,半年调薪"
Java开发工程师,深圳松鼠游戏网络信息有限公司,深圳-南山区,1-2万/月,04-27,"深圳-南山区,3-4年经验,本科,招1人,04-27发布,计算机科学 计算机应用","五天七小时,五险一金,员工旅游,员工下午茶,免费加班晚餐,绩效奖金,年终奖金,节日福利,具竞争力薪酬,完善晋升机制"
高级Java开发工程师,广州乐摇摇信息科技有限公司,广州-番禺区,1.8-2.5万/月,04-27,"广州-番禺区,5-7年经验,本科,招2人,04-27发布","五险一金,免费住宿,弹性工作,专业培训,绩效奖金"
Java开发工程师,江西伦比新材料科技有限公司,南昌,4.5-6千/月,04-27,"南昌,1年经验,大专,招1人,04-27发布","绩效奖金,通讯补贴,专业培训,员工旅游,餐饮补贴,交通补贴,年终奖金,五险"
JAVA软件工程师,江苏灜沣信息科技有限公司,南京-建邺区,0.8-1.5万/月,04-27,"南京-建邺区,3-4年经验,本科,招2人,04-27发布","五险一金,餐饮补贴,股票期权,年终奖金"
Java初级开发工程师,大连泰微科技有限公司,大连,4.5-6千/月,04-27,"大连,无工作经验,招3人,04-27发布",
JAVA软件工程师,成都慧码技术有限公司,成都-高新区,0.7-1.2万/月,04-27,"成都-高新区,3-4年经验,本科,招6人,04-27发布,英语良好","五险一金,弹性工作"
JAVA研发工程师,湖北云天下教育科技有限公司,武汉-洪山区,0.8-1.5万/月,04-27,"武汉-洪山区,3-4年经验,本科,招2人,04-27发布","绩效奖金,五险一金,员工旅游,年终奖金,出国机会,专业培训"
Java开发工程师,深圳市零距互联网科技有限公司,深圳-龙华新区,1.5-2.5万/月,04-27,"深圳-龙华新区,无工作经验,大专,招2人,04-27发布","五险一金,员工旅游,绩效奖金,年终奖金"
JAVA研发工程师,长沙正达信息科技有限公司,长沙-岳麓区,6-8千/月,04-27,"长沙-岳麓区,2年经验,本科,招2人,04-27发布",
Java中级开发工程师,常州飞豚信息技术有限公司,常州-钟楼区,7-9千/月,04-27,"常州-钟楼区,3-4年经验,本科,招2人,04-27发布","五险一金,绩效奖金,年终奖金,通讯补贴,员工旅游,定期体检"
双休+初级Java程序员,湖北华奥星空体育产业联盟发展有限...,武汉-武昌区,4.5-7千/月,04-27,"武汉-武昌区,无工作经验,大专,招5人,04-27发布","五险一金,补充公积金,员工旅游,绩效奖金,年终奖金,弹性工作,定期体检"
Java工程师,陕西绝顶人峰网络科技有限公司,西安-高新技术...,7-8千/月,04-27,"西安-高新技术产业开发区,2年经验,本科,招1人,04-27发布","绩效奖金,全勤奖,通讯补贴,员工旅游,节日福利,免费班车,专业培训,餐饮补贴,交通补贴,弹性工作"
java软件开发助理/实习生/工程师/程序员,极库讯（厦门）科技有限公司,厦门,0.4-1万/月,04-27,"厦门,无工作经验,大专,招3人,04-27发布","五险一金,员工旅游,交通补贴,餐饮补贴,绩效奖金,年终奖金,周末双休"
Java后台开发工程师,深圳市红微芯科技有限公司,深圳-龙岗区,1-1.5万/月,04-27,"深圳-龙岗区,3-4年经验,大专,招2人,04-27发布,普通话,软件工程 电子信息工程","员工旅游,社保,年终奖金"
Java开发工程师,深圳市安邦网络科技有限公司,深圳-龙岗区,1-3万/月,04-27,"深圳-龙岗区,3-4年经验,大专,招2人,04-27发布,软件工程 计算机应用","五险一金,员工旅游,专业培训,弹性工作,股票期权,年终奖金,绩效奖金"
Java软件工程师,拜椰特（上海）软件技术有限公司,上海-浦东新区,12-24万/年,04-27,"上海-浦东新区,2年经验,本科,招若干人,04-27发布,计算机科学与技术 软件工程","五险一金,补充医疗保险,员工旅游,专业培训,股票期权,弹性工作,定期体检"
对日java开发,大连佳数科技有限公司,大连-高新园区,6-8千/月,04-27,"大连-高新园区,3-4年经验,大专,招10人,04-27发布",
Java高级开发工程师,南京林洋电力科技有限公司,南京-建邺区,0.9-2万/月,04-27,"南京-建邺区,无工作经验,招若干人,04-27发布","五险一金,员工旅游,餐饮补贴,定期体检,专业培训,年终奖金"
Java中高级开发工程师,江苏南极星新能源技术股份有限公司,南京-栖霞区,0.9-1.8万/月,04-27,"南京-栖霞区,3-4年经验,本科,招若干人,04-27发布,软件工程 计算机工程","五险一金,包住宿,免费班车,绩效奖金,全勤奖,包三餐,节日福利,带薪年假,专业培训,定期旅游"
应届生初级软件工程师java实习,广州启微信息科技有限公司,广州-天河区,6-8千/月,04-27,"广州-天河区,无工作经验,大专,招5人,04-27发布",
Java开发工程师,北京先进数通信息技术股份公司,昆明-五华区,0.5-1万/月,04-27,"昆明-五华区,2年经验,本科,招5人,04-27发布",
JAVA开发工程师,广州市款靓靓珠宝有限责任公司,广州-番禺区,0.8-1.2万/月,04-27,"广州-番禺区,3-4年经验,大专,招若干人,04-27发布,软件工程","带薪年假,五险一金,绩效奖金,全勤奖,节日福利,专业培训,餐饮补贴,加班补贴"
高级java开发工程师,常德泽易珍豪电子商务有限公司,常德,6-8千/月,04-27,"常德,2年经验,招若干人,04-27发布","员工旅游,餐饮补贴,专业培训,绩效奖金,年终奖金,定期体检,包吃"
无经验java实习生双休,福州天助人和信息技术有限公司,福州-鼓楼区,4.5-6千/月,04-27,"福州-鼓楼区,无工作经验,大专,招若干人,04-27发布","五险一金,绩效奖金,餐饮补贴,年终奖金,员工旅游,弹性工作,年底双薪,带薪年假,生日聚会,高温补贴"
Java高级开发工程师（金融行业）,上海金指软件技术有限公司,上海-浦东新区,1.5-2.2万/月,04-27,"上海-浦东新区,5-7年经验,本科,招10人,04-27发布","五险一金,餐饮补贴,定期体检,专业培训,免费班车,员工旅游,交通补贴,年终奖金,股票期权,绩效奖金"
Java高级开发工程师,杭州石谷网络科技有限公司,杭州-上城区,0.8-1万/月,04-27,"杭州-上城区,无工作经验,招3人,04-27发布",五险一金
Java开发工程师,湖南唐门网络科技有限公司,长沙-岳麓区,0.6-1.2万/月,04-27,"长沙-岳麓区,2年经验,本科,招2人,04-27发布","五险,绩效奖金,年终奖金,专业培训"
java开发工程师（大数据方向）,广州市科蝶网络科技有限公司,广州-番禺区,1-1.5万/月,04-27,"广州-番禺区,2年经验,本科,招2人,04-27发布,计算机应用 计算机科学与技术","五险一金,绩效奖金,专业培训,加班补贴"
Java开发工程师,广州锐迪医疗仪器有限公司,广州,1-2万/月,04-27,"广州,2年经验,本科,招1人,04-27发布","餐饮补贴,专业培训,年终奖金,绩效奖金"
Java高级开发工程师,上海澳马信息技术服务有限公司,上海,0.6-2万/月,04-27,"上海,5-7年经验,大专,招若干人,04-27发布","餐饮补贴,绩效奖金,定期体检,弹性工作,五险一金"
初级Java软件开发实习生,成都壹玖捌玖科技有限公司,成都,3.8-6.5千/月,04-27,"成都,无工作经验,招2人,04-27发布","五险一金,补充公积金,员工旅游,年终奖金,绩效奖金,弹性工作,交通补贴,餐饮补贴,通讯补贴,补充医疗保险"
中级java软件工程师,深圳市千岸科技有限公司,深圳-宝安区,1.3-1.8万/月,04-27,"深圳-宝安区,3-4年经验,大专,招1人,04-27发布","五险一金,弹性工作,专业培训,绩效奖金,年终奖金,员工旅游"
java开发（长沙）,北京炎黄新星网络科技有限公司,长沙-芙蓉区,4-6千/月,04-27,"长沙-芙蓉区,1年经验,本科,招1人,04-27发布","五险一金,餐饮补贴,年终奖金"
Java服务器开发工程师,广州忆游未尽网络科技有限公司,广州,0.8-1.5万/月,04-27,"广州,无工作经验,大专,招若干人,04-27发布","五险一金,补充医疗保险,员工旅游,年终奖金,绩效奖金,弹性工作,加班补贴,全勤奖,勤奋奖"
中级java,广州多融信息科技有限公司,广州-天河区,1-1.5万/月,04-27,"广州-天河区,无工作经验,本科,招若干人,04-27发布","五险一金,弹性工作,餐饮补贴,包午餐,水果下午茶"
Java研发经理,北京中科精图信息技术有限公司,北京-海淀区,1.8-2.5万/月,04-27,"北京-海淀区,10年以上经验,本科,招若干人,04-27发布,英语,计算机应用 软件工程","五险一金,交通补贴,餐饮补贴,通讯补贴,绩效奖金,年终奖金,弹性工作"
Java开发实习生,沈阳匹斯迈尔科技有限公司,沈阳-沈河区,1.5-3.5千/月,04-27,"沈阳-沈河区,无工作经验,大专,招5人,04-27发布,英语良好",
Java实习,四川苏雅拉教育科技有限公司,成都-武侯区,2.5-4.5千/月,04-27,"成都-武侯区,无工作经验,大专,招3人,04-27发布","五险一金,员工旅游,专业培训,绩效奖金,弹性工作,定期体检"
Java开发工程师,湖北点客信息技术有限公司,武汉-江岸区,0.7-1.2万/月,04-27,"武汉-江岸区,5-7年经验,本科,招2人,04-27发布",
Java开发工程师,深圳凡博信息技术有限公司,深圳-宝安区,1-1.5万/月,04-27,"深圳-宝安区,2年经验,大专,招1人,04-27发布","员工旅游,五险一金,节日福利,带薪年假,加班补贴,结婚礼金,不限量零食,定期体检,年终奖"
Java高级开发工程师（银行软件）,南京信雅达友田信息技术有限公司,深圳-福田区,2-2.5万/月,04-27,"深圳-福田区,5-7年经验,本科,招2人,04-27发布","五险一金,员工旅游,交通补贴,通讯补贴,绩效奖金,年终奖金,弹性工作,定期体检"
JAVA项目开发经理,济南方联信息科技有限公司,济南,0.8-1.5万/月,04-27,"济南,1年经验,招3人,04-27发布","五险一金,交通补贴,餐饮补贴,通讯补贴,年终奖金,绩效奖金,股票期权,员工旅游,免费班车,专业培训"
Java高级开发工程师,深圳市金蝶天燕中间件股份有限公司,深圳-南山区,1.5-2万/月,04-27,"深圳-南山区,5-7年经验,本科,招若干人,04-27发布","五险一金,定期体检,节日福利,带薪年假,绩效奖金"
Java开发/软件开发助理工程师,厦门智汇祥盈科技有限公司,厦门,3-4.5千/月,04-27,"厦门,无工作经验,大专,招3人,04-27发布","五险一金,绩效奖金,餐饮补贴,年终奖金,周末双休"
Java开发工程师,广东赛辰检测服务有限公司,广州-黄埔区,1-1.5万/月,04-27,"广州-黄埔区,无工作经验,招2人,04-27发布","五险一金,员工旅游,专业培训,绩效奖金,年终奖金,员工生日,商业保险,周末双休,带薪年假,加班福利"
急聘高级java软件工程师,深圳市诚立业科技发展有限公司,深圳-龙华新区,1.4-1.8万/月,04-27,"深圳-龙华新区,3-4年经验,本科,招1人,04-27发布",五险一金
java高级软件工程师（音视频、流媒体）,北京东方坦达科技有限公司,北京-海淀区,1.5-2万/月,04-27,"北京-海淀区,3-4年经验,本科,招若干人,04-27发布,英语良好","五险一金,年终奖金,专业培训,餐饮补贴,弹性工作"
Java高级开发工程师(需求侧管理),南京新联软件有限责任公司,南京-江宁区,1-2万/月,04-27,"南京-江宁区,5-7年经验,本科,招5人,04-27发布",五险一金
实习Java开发五险一金,广东金优有限公司,广州,5.5-7.5千/月,04-27,"广州,无工作经验,大专,招5人,04-27发布","五险一金,员工旅游,绩效奖金,年终奖金,定期体检,弹性工作,周末双休"
